Region,Country,Year,Series,Value
3,North America,1995,Primary energy production (petajoules),93936
3,North America,2000,Primary energy production (petajoules),96711
3,North America,2005,Primary energy production (petajoules),98775
3,North America,2010,Primary energy production (petajoules),101199
3,North America,2015,Primary energy production (petajoules),114922
3,North America,2016,Primary energy production (petajoules),110326
3,North America,2017,Primary energy production (petajoules),114222
3,North America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),7976
3,North America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),9286
3,North America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),15882
3,North America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),20421
3,North America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),13008
3,North America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1746
3,North America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2137
3,North America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-2128
3,North America,1990,Changes in stocks (petajoules),1783
3,North America,1995,Changes in stocks (petajoules),-919
3,North America,2000,Changes in stocks (petajoules),-2233
3,North America,2005,Changes in stocks (petajoules),-143
3,North America,2010,Changes in stocks (petajoules),-597
3,North America,2015,Changes in stocks (petajoules),2072
3,North America,2016,Changes in stocks (petajoules),-1153
3,North America,2017,Changes in stocks (petajoules),-1405
3,North America,1990,Total supply (petajoules),96361
3,North America,1995,Total supply (petajoules),104141
3,North America,2000,Total supply (petajoules),114826
3,North America,2005,Total supply (petajoules),119340
3,North America,2010,Total supply (petajoules),114805
3,North America,2015,Total supply (petajoules),114597
3,North America,2016,Total supply (petajoules),113617
3,North America,2017,Total supply (petajoules),113499
3,North America,1990,Supply per capita (gigajoules),225
3,North America,1995,Supply per capita (gigajoules),228
3,North America,2000,Supply per capita (gigajoules),236
3,North America,2005,Supply per capita (gigajoules),232
3,North America,2010,Supply per capita (gigajoules),211
3,North America,2015,Supply per capita (gigajoules),201
3,North America,2016,Supply per capita (gigajoules),197
3,North America,2017,Supply per capita (gigajoules),195
5,South America,1990,Primary energy production (petajoules),16266
5,South America,1995,Primary energy production (petajoules),20324
5,South America,2000,Primary energy production (petajoules),24088
5,South America,2005,Primary energy production (petajoules),26619
5,South America,2010,Primary energy production (petajoules),29335
5,South America,2015,Primary energy production (petajoules),31960
5,South America,2016,Primary energy production (petajoules),31955
5,South America,2017,Primary energy production (petajoules),31442
5,South America,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3742
5,South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-5769
5,South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-7308
5,South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-8048
5,South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7268
5,South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7807
5,South America,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-7925
5,South America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-8167
5,South America,1990,Changes in stocks (petajoules),86
5,South America,1995,Changes in stocks (petajoules),-8
5,South America,2000,Changes in stocks (petajoules),-15
5,South America,2005,Changes in stocks (petajoules),-325
5,South America,2010,Changes in stocks (petajoules),-87
5,South America,2015,Changes in stocks (petajoules),41
5,South America,2016,Changes in stocks (petajoules),-214
5,South America,2017,Changes in stocks (petajoules),-883
5,South America,1990,Total supply (petajoules),12437
5,South America,1995,Total supply (petajoules),14563
5,South America,2000,Total supply (petajoules),16794
5,South America,2005,Total supply (petajoules),18897
5,South America,2010,Total supply (petajoules),22155
5,South America,2015,Total supply (petajoules),24112
5,South America,2016,Total supply (petajoules),24243
5,South America,2017,Total supply (petajoules),24158
5,South America,1990,Supply per capita (gigajoules),42
5,South America,1995,Supply per capita (gigajoules),45
5,South America,2000,Supply per capita (gigajoules),48
5,South America,2005,Supply per capita (gigajoules),51
5,South America,2010,Supply per capita (gigajoules),56
5,South America,2015,Supply per capita (gigajoules),58
5,South America,2016,Supply per capita (gigajoules),58
5,South America,2017,Supply per capita (gigajoules),57
142,Asia,1990,Primary energy production (petajoules),106953
142,Asia,1995,Primary energy production (petajoules),132959
142,Asia,2000,Primary energy production (petajoules),149311
142,Asia,2005,Primary energy production (petajoules),192294
142,Asia,2010,Primary energy production (petajoules),236089
142,Asia,2015,Primary energy production (petajoules),261124
142,Asia,2016,Primary energy production (petajoules),264678
142,Asia,2017,Primary energy production (petajoules),268302
142,Asia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-11491
142,Asia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8882
142,Asia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-9642
142,Asia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-9480
142,Asia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),305
142,Asia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8688
142,Asia,2016,Net imports [Imports - Exports - Bunkers] (petajoules),4952
142,Asia,2017,Net imports [Imports - Exports - Bunkers] (petajoules),10816
142,Asia,1990,Changes in stocks (petajoules),1714
142,Asia,1995,Changes in stocks (petajoules),612
142,Asia,2000,Changes in stocks (petajoules),-736
142,Asia,2005,Changes in stocks (petajoules),-385
142,Asia,2010,Changes in stocks (petajoules),1644
142,Asia,2015,Changes in stocks (petajoules),238
142,Asia,2016,Changes in stocks (petajoules),-2148
142,Asia,2017,Changes in stocks (petajoules),71
142,Asia,1990,Total supply (petajoules),93749
142,Asia,1995,Total supply (petajoules),123466
142,Asia,2000,Total supply (petajoules),140404
142,Asia,2005,Total supply (petajoules),183199
142,Asia,2010,Total supply (petajoules),234751
142,Asia,2015,Total supply (petajoules),269575
142,Asia,2016,Total supply (petajoules),271779
142,Asia,2017,Total supply (petajoules),279048
142,Asia,1990,Supply per capita (gigajoules),30
142,Asia,1995,Supply per capita (gigajoules),36
142,Asia,2000,Supply per capita (gigajoules),38
142,Asia,2005,Supply per capita (gigajoules),46
142,Asia,2010,Supply per capita (gigajoules),56
142,Asia,2015,Supply per capita (gigajoules),61
142,Asia,2016,Supply per capita (gigajoules),61
142,Asia,2017,Supply per capita (gigajoules),62
150,Europe,1990,Primary energy production (petajoules),112935
150,Europe,1995,Primary energy production (petajoules),93488
150,Europe,2000,Primary energy production (petajoules),94859
150,Europe,2005,Primary energy production (petajoules),102725
150,Europe,2010,Primary energy production (petajoules),102627
150,Europe,2015,Primary energy production (petajoules),101198
150,Europe,2016,Primary energy production (petajoules),102151
150,Europe,2017,Primary energy production (petajoules),104101
150,Europe,1990,Net imports [Imports - Exports - Bunkers] (petajoules),13900
150,Europe,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13449
150,Europe,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12263
150,Europe,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10832
150,Europe,2010,Net imports [Imports - Exports - Bunkers] (petajoules),7975
150,Europe,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3789
150,Europe,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2102
150,Europe,2017,Net imports [Imports - Exports - Bunkers] (petajoules),3670
150,Europe,1990,Changes in stocks (petajoules),344
150,Europe,1995,Changes in stocks (petajoules),110
150,Europe,2000,Changes in stocks (petajoules),261
150,Europe,2005,Changes in stocks (petajoules),583
150,Europe,2010,Changes in stocks (petajoules),-1187
150,Europe,2015,Changes in stocks (petajoules),168
150,Europe,2016,Changes in stocks (petajoules),-832
150,Europe,2017,Changes in stocks (petajoules),261
150,Europe,1990,Total supply (petajoules),126491
150,Europe,1995,Total supply (petajoules),106827
150,Europe,2000,Total supply (petajoules),106861
150,Europe,2005,Total supply (petajoules),112975
150,Europe,2010,Total supply (petajoules),111790
150,Europe,2015,Total supply (petajoules),104818
150,Europe,2016,Total supply (petajoules),105085
150,Europe,2017,Total supply (petajoules),107510
150,Europe,1990,Supply per capita (gigajoules),116
150,Europe,1995,Supply per capita (gigajoules),147
150,Europe,2000,Supply per capita (gigajoules),147
150,Europe,2005,Supply per capita (gigajoules),155
150,Europe,2010,Supply per capita (gigajoules),152
150,Europe,2015,Supply per capita (gigajoules),141
150,Europe,2016,Supply per capita (gigajoules),141
150,Europe,2017,Supply per capita (gigajoules),144
9,Oceania,1990,Primary energy production (petajoules),7389
9,Oceania,1995,Primary energy production (petajoules),8661
9,Oceania,2000,Primary energy production (petajoules),10649
9,Oceania,2005,Primary energy production (petajoules),12256
9,Oceania,2010,Primary energy production (petajoules),14530
9,Oceania,2015,Primary energy production (petajoules),17039
9,Oceania,2016,Primary energy production (petajoules),17294
9,Oceania,2017,Primary energy production (petajoules),17969
9,Oceania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-2753
9,Oceania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3784
9,Oceania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5383
9,Oceania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-6530
9,Oceania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-7723
9,Oceania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-10387
9,Oceania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-10782
9,Oceania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-11202
9,Oceania,1990,Changes in stocks (petajoules),203
9,Oceania,1995,Changes in stocks (petajoules),103
9,Oceania,2000,Changes in stocks (petajoules),-233
9,Oceania,2005,Changes in stocks (petajoules),-37
9,Oceania,2010,Changes in stocks (petajoules),281
9,Oceania,2015,Changes in stocks (petajoules),64
9,Oceania,2016,Changes in stocks (petajoules),-145
9,Oceania,2017,Changes in stocks (petajoules),148
9,Oceania,1990,Total supply (petajoules),4432
9,Oceania,1995,Total supply (petajoules),4775
9,Oceania,2000,Total supply (petajoules),5499
9,Oceania,2005,Total supply (petajoules),5762
9,Oceania,2010,Total supply (petajoules),6527
9,Oceania,2015,Total supply (petajoules),6587
9,Oceania,2016,Total supply (petajoules),6657
9,Oceania,2017,Total supply (petajoules),6619
9,Oceania,1990,Supply per capita (gigajoules),163
9,Oceania,1995,Supply per capita (gigajoules),164
9,Oceania,2000,Supply per capita (gigajoules),177
9,Oceania,2005,Supply per capita (gigajoules),172
9,Oceania,2010,Supply per capita (gigajoules),178
9,Oceania,2015,Supply per capita (gigajoules),167
9,Oceania,2016,Supply per capita (gigajoules),166
9,Oceania,2017,Supply per capita (gigajoules),163
4,Afghanistan,1990,Primary energy production (petajoules),19
4,Afghanistan,1995,Primary energy production (petajoules),16
4,Afghanistan,2000,Primary energy production (petajoules),18
4,Afghanistan,2005,Primary energy production (petajoules),23
4,Afghanistan,2010,Primary energy production (petajoules),41
4,Afghanistan,2015,Primary energy production (petajoules),60
4,Afghanistan,2016,Primary energy production (petajoules),70
4,Afghanistan,2017,Primary energy production (petajoules),82
4,Afghanistan,1990,Net imports [Imports - Exports - Bunkers] (petajoules),28
4,Afghanistan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),13
4,Afghanistan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
4,Afghanistan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),14
4,Afghanistan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),95
4,Afghanistan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),76
4,Afghanistan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),51
4,Afghanistan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),41
4,Afghanistan,1990,Changes in stocks (petajoules),0
4,Afghanistan,1995,Changes in stocks (petajoules),0
4,Afghanistan,2000,Changes in stocks (petajoules),0
4,Afghanistan,1990,Total supply (petajoules),46
4,Afghanistan,1995,Total supply (petajoules),29
4,Afghanistan,2000,Total supply (petajoules),25
4,Afghanistan,2005,Total supply (petajoules),36
4,Afghanistan,2010,Total supply (petajoules),136
4,Afghanistan,2015,Total supply (petajoules),135
4,Afghanistan,2016,Total supply (petajoules),121
4,Afghanistan,2017,Total supply (petajoules),123
4,Afghanistan,1990,Supply per capita (gigajoules),4
4,Afghanistan,1995,Supply per capita (gigajoules),1
4,Afghanistan,2000,Supply per capita (gigajoules),1
4,Afghanistan,2005,Supply per capita (gigajoules),1
4,Afghanistan,2010,Supply per capita (gigajoules),5
4,Afghanistan,2015,Supply per capita (gigajoules),4
4,Afghanistan,2016,Supply per capita (gigajoules),3
4,Afghanistan,2017,Supply per capita (gigajoules),3
8,Albania,1990,Primary energy production (petajoules),99
8,Albania,1995,Primary energy production (petajoules),43
8,Albania,2000,Primary energy production (petajoules),34
8,Albania,2005,Primary energy production (petajoules),48
8,Albania,2010,Primary energy production (petajoules),69
8,Albania,2015,Primary energy production (petajoules),87
8,Albania,2016,Primary energy production (petajoules),82
8,Albania,2017,Primary energy production (petajoules),69
8,Albania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),15
8,Albania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),4
8,Albania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),31
8,Albania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),43
8,Albania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),22
8,Albania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),9
8,Albania,2016,Net imports [Imports - Exports - Bunkers] (petajoules),15
8,Albania,2017,Net imports [Imports - Exports - Bunkers] (petajoules),36
8,Albania,1990,Changes in stocks (petajoules),23
8,Albania,1995,Changes in stocks (petajoules),0
8,Albania,2005,Changes in stocks (petajoules),0
8,Albania,2010,Changes in stocks (petajoules),0
8,Albania,2015,Changes in stocks (petajoules),6
8,Albania,2016,Changes in stocks (petajoules),5
8,Albania,2017,Changes in stocks (petajoules),6
8,Albania,1990,Total supply (petajoules),92
8,Albania,1995,Total supply (petajoules),47
8,Albania,2000,Total supply (petajoules),65
8,Albania,2005,Total supply (petajoules),91
8,Albania,2010,Total supply (petajoules),91
8,Albania,2015,Total supply (petajoules),91
8,Albania,2016,Total supply (petajoules),91
8,Albania,2017,Total supply (petajoules),100
8,Albania,1990,Supply per capita (gigajoules),28
8,Albania,1995,Supply per capita (gigajoules),15
8,Albania,2000,Supply per capita (gigajoules),21
8,Albania,2005,Supply per capita (gigajoules),29
8,Albania,2010,Supply per capita (gigajoules),31
8,Albania,2015,Supply per capita (gigajoules),31
8,Albania,2016,Supply per capita (gigajoules),31
8,Albania,2017,Supply per capita (gigajoules),34
12,Algeria,1990,Primary energy production (petajoules),4380
12,Algeria,1995,Primary energy production (petajoules),4748
12,Algeria,2000,Primary energy production (petajoules),6556
12,Algeria,2005,Primary energy production (petajoules),7534
12,Algeria,2010,Primary energy production (petajoules),6200
12,Algeria,2015,Primary energy production (petajoules),5883
12,Algeria,2016,Primary energy production (petajoules),6283
12,Algeria,2017,Primary energy production (petajoules),6285
12,Algeria,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-3263
12,Algeria,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-3485
12,Algeria,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-5414
12,Algeria,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-5952
12,Algeria,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-4551
12,Algeria,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3692
12,Algeria,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-4082
12,Algeria,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-3986
12,Algeria,1990,Changes in stocks (petajoules),41
12,Algeria,1995,Changes in stocks (petajoules),-8
12,Algeria,2000,Changes in stocks (petajoules),-27
12,Algeria,2005,Changes in stocks (petajoules),0
12,Algeria,2010,Changes in stocks (petajoules),9
12,Algeria,2015,Changes in stocks (petajoules),-33
12,Algeria,2016,Changes in stocks (petajoules),-3
12,Algeria,2017,Changes in stocks (petajoules),12
12,Algeria,1990,Total supply (petajoules),1075
12,Algeria,1995,Total supply (petajoules),1270
12,Algeria,2000,Total supply (petajoules),1170
12,Algeria,2005,Total supply (petajoules),1583
12,Algeria,2010,Total supply (petajoules),1641
12,Algeria,2015,Total supply (petajoules),2224
12,Algeria,2016,Total supply (petajoules),2203
12,Algeria,2017,Total supply (petajoules),2289
12,Algeria,1990,Supply per capita (gigajoules),43
12,Algeria,1995,Supply per capita (gigajoules),45
12,Algeria,2000,Supply per capita (gigajoules),38
12,Algeria,2005,Supply per capita (gigajoules),48
12,Algeria,2010,Supply per capita (gigajoules),45
12,Algeria,2015,Supply per capita (gigajoules),56
12,Algeria,2016,Supply per capita (gigajoules),54
12,Algeria,2017,Supply per capita (gigajoules),55
20,Andorra,1990,Primary energy production (petajoules),0
20,Andorra,1995,Primary energy production (petajoules),0
20,Andorra,2000,Primary energy production (petajoules),0
20,Andorra,2005,Primary energy production (petajoules),0
20,Andorra,2010,Primary energy production (petajoules),1
20,Andorra,2015,Primary energy production (petajoules),1
20,Andorra,2016,Primary energy production (petajoules),1
20,Andorra,2017,Primary energy production (petajoules),1
20,Andorra,1990,Net imports [Imports - Exports - Bunkers] (petajoules),6
20,Andorra,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
20,Andorra,2000,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2005,Net imports [Imports - Exports - Bunkers] (petajoules),10
20,Andorra,2010,Net imports [Imports - Exports - Bunkers] (petajoules),9
20,Andorra,2015,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2016,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,2017,Net imports [Imports - Exports - Bunkers] (petajoules),8
20,Andorra,1990,Total supply (petajoules),7
20,Andorra,1995,Total supply (petajoules),7
20,Andorra,2000,Total supply (petajoules),9
20,Andorra,2005,Total supply (petajoules),10
20,Andorra,2010,Total supply (petajoules),10
20,Andorra,2015,Total supply (petajoules),9
20,Andorra,2016,Total supply (petajoules),9
20,Andorra,2017,Total supply (petajoules),9
20,Andorra,1990,Supply per capita (gigajoules),130
20,Andorra,1995,Supply per capita (gigajoules),111
20,Andorra,2000,Supply per capita (gigajoules),138
20,Andorra,2005,Supply per capita (gigajoules),130
20,Andorra,2010,Supply per capita (gigajoules),114
20,Andorra,2015,Supply per capita (gigajoules),113
20,Andorra,2016,Supply per capita (gigajoules),116
20,Andorra,2017,Supply per capita (gigajoules),117
24,Angola,1990,Primary energy production (petajoules),1198
24,Angola,1995,Primary energy production (petajoules),1582
24,Angola,2000,Primary energy production (petajoules),1782
24,Angola,2005,Primary energy production (petajoules),2888
24,Angola,2010,Primary energy production (petajoules),4016
24,Angola,2015,Primary energy production (petajoules),4089
24,Angola,2016,Primary energy production (petajoules),4017
24,Angola,2017,Primary energy production (petajoules),3820
24,Angola,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-960
24,Angola,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-1224
24,Angola,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1475
24,Angola,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2565
24,Angola,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3547
24,Angola,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-3536
24,Angola,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-3442
24,Angola,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-3191
24,Angola,1995,Changes in stocks (petajoules),17
24,Angola,2000,Changes in stocks (petajoules),21
24,Angola,2005,Changes in stocks (petajoules),5
24,Angola,2010,Changes in stocks (petajoules),1
24,Angola,2015,Changes in stocks (petajoules),1
24,Angola,2016,Changes in stocks (petajoules),4
24,Angola,2017,Changes in stocks (petajoules),10
24,Angola,1990,Total supply (petajoules),238
24,Angola,1995,Total supply (petajoules),340
24,Angola,2000,Total supply (petajoules),287
24,Angola,2005,Total supply (petajoules),318
24,Angola,2010,Total supply (petajoules),469
24,Angola,2015,Total supply (petajoules),552
24,Angola,2016,Total supply (petajoules),571
24,Angola,2017,Total supply (petajoules),618
24,Angola,1990,Supply per capita (gigajoules),23
24,Angola,1995,Supply per capita (gigajoules),28
24,Angola,2000,Supply per capita (gigajoules),21
24,Angola,2005,Supply per capita (gigajoules),19
24,Angola,2010,Supply per capita (gigajoules),20
24,Angola,2015,Supply per capita (gigajoules),20
24,Angola,2016,Supply per capita (gigajoules),20
24,Angola,2017,Supply per capita (gigajoules),21
660,Anguilla,1990,Primary energy production (petajoules),0
660,Anguilla,1995,Primary energy production (petajoules),0
660,Anguilla,2000,Primary energy production (petajoules),0
660,Anguilla,2005,Primary energy production (petajoules),0
660,Anguilla,2010,Primary energy production (petajoules),0
660,Anguilla,2015,Primary energy production (petajoules),0
660,Anguilla,2016,Primary energy production (petajoules),0
660,Anguilla,2017,Primary energy production (petajoules),0
660,Anguilla,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
660,Anguilla,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
660,Anguilla,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
660,Anguilla,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2015,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2016,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,2017,Net imports [Imports - Exports - Bunkers] (petajoules),2
660,Anguilla,1990,Total supply (petajoules),1
660,Anguilla,1995,Total supply (petajoules),1
660,Anguilla,2000,Total supply (petajoules),1
660,Anguilla,2005,Total supply (petajoules),2
660,Anguilla,2010,Total supply (petajoules),2
660,Anguilla,2015,Total supply (petajoules),2
660,Anguilla,2016,Total supply (petajoules),2
660,Anguilla,2017,Total supply (petajoules),2
660,Anguilla,1990,Supply per capita (gigajoules),87
660,Anguilla,1995,Supply per capita (gigajoules),94
660,Anguilla,2000,Supply per capita (gigajoules),117
660,Anguilla,2005,Supply per capita (gigajoules),132
660,Anguilla,2010,Supply per capita (gigajoules),155
660,Anguilla,2015,Supply per capita (gigajoules),151
660,Anguilla,2016,Supply per capita (gigajoules),149
660,Anguilla,2017,Supply per capita (gigajoules),136
28,Antigua and Barbuda,2015,Primary energy production (petajoules),0
28,Antigua and Barbuda,2016,Primary energy production (petajoules),0
28,Antigua and Barbuda,2017,Primary energy production (petajoules),0
28,Antigua and Barbuda,1990,Net imports [Imports - Exports - Bunkers] (petajoules),4
28,Antigua and Barbuda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),3
28,Antigua and Barbuda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),4
28,Antigua and Barbuda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
28,Antigua and Barbuda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),6
28,Antigua and Barbuda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
28,Antigua and Barbuda,2016,Net imports [Imports - Exports - Bunkers] (petajoules),7
